team_long_name,city,team_cleaned,team_and_city
Heracles Almelo,Almelo,Heracles Almelo,Heracles Almelo (Almelo)
Feyenoord,Rotterdam,Feyenoord,Feyenoord (Rotterdam)
Sparta Rotterdam,Rotterdam,Sparta Rotterdam,Sparta Rotterdam (Rotterdam)
ADO Den Haag,Den Haag,ADO Den Haag,ADO Den Haag (Den Haag)
FC Volendam,Volendam,FC Volendam,FC Volendam (Volendam)
SC Heerenveen,Heerenveen,SC Heerenveen,SC Heerenveen (Heerenveen)
AZ,AZ,AZ,AZ (AZ)
NAC Breda,Breda,NAC Breda,NAC Breda (Breda)
RKC Waalwijk,Waalwijk,RKC Waalwijk,RKC Waalwijk (Waalwijk)
VVV-Venlo,Venlo,VVV-Venlo,VVV-Venlo (Venlo)
Excelsior,Excelsior,Excelsior,Excelsior (Excelsior)
PEC Zwolle,Zwolle,PEC Zwolle,PEC Zwolle (Zwolle)
SC Cambuur,Cambuur,SC Cambuur,SC Cambuur (Cambuur)
Go Ahead Eagles,Eagles,Go Ahead Eagles,Go Ahead Eagles (Eagles)
FC Dordrecht,Dordrecht,FC Dordrecht,FC Dordrecht (Dordrecht)
Wisła Kraków,Kraków,Wisła Kraków,Wisła Kraków (Kraków)
Polonia Bytom,Bytom,Polonia Bytom,Polonia Bytom (Bytom)
Ruch Chorzów,Chorzów,Ruch Chorzów,Ruch Chorzów (Chorzów)
Legia Warszawa,Warszawa,Legia Warszawa,Legia Warszawa (Warszawa)
P. Warszawa,Warszawa,P. Warszawa,P. Warszawa (Warszawa)
Śląsk Wrocław,Wrocław,Śląsk Wrocław,Śląsk Wrocław (Wrocław)
Lechia Gdańsk,Gdańsk,Lechia Gdańsk,Lechia Gdańsk (Gdańsk)
Widzew Łódź,Łódź,Widzew Łódź,Widzew Łódź (Łódź)
Odra Wodzisław,Wodzisław,Odra Wodzisław,Odra Wodzisław (Wodzisław)
Lech Poznań,Poznań,Lech Poznań,Lech Poznań (Poznań)
GKS Bełchatów,Bełchatów,GKS Bełchatów,GKS Bełchatów (Bełchatów)
Arka Gdynia,Gdynia,Arka Gdynia,Arka Gdynia (Gdynia)
Jagiellonia Białystok,Białystok,Jagiellonia Białystok,Jagiellonia Białystok (Białystok)
Piast Gliwice,Gliwice,Piast Gliwice,Piast Gliwice (Gliwice)
Cracovia,Cracovia,Cracovia,Cracovia (Cracovia)
Korona Kielce,Kielce,Korona Kielce,Korona Kielce (Kielce)
Zagłębie Lubin,Lubin,Zagłębie Lubin,Zagłębie Lubin (Lubin)
Podbeskidzie Bielsko-Biała,Biała,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała (Biała)
Pogoń Szczecin,Szczecin,Pogoń Szczecin,Pogoń Szczecin (Szczecin)
Zawisza Bydgoszcz,Bydgoszcz,Zawisza Bydgoszcz,Zawisza Bydgoszcz (Bydgoszcz)
Górnik Łęczna,Łęczna,Górnik Łęczna,Górnik Łęczna (Łęczna)
Termalica Bruk-Bet Nieciecza,Nieciecza,Termalica Bruk-Bet Nieciecza,Termalica Bruk-Bet Nieciecza (Nieciecza)
FC Porto,Porto,FC Porto,FC Porto (Porto)
CF Os Belenenses,Belenenses,CF Os Belenenses,CF Os Belenenses (Belenenses)
Sporting CP,Lisboa,Sporting CP,Sporting CP (Lisboa)
Trofense,Trofa,Trofense,Trofense (Trofa)
Vitória Guimarães,Guimarães,Vitória Guimarães,Vitória Guimarães (Guimarães)
Vitória Setúbal,Setúbal,Vitória Setúbal,Vitória Setúbal (Setúbal)
FC Paços de Ferreira,Paços de Ferreira,FC Paços de Ferreira,FC Paços de Ferreira (Paços de Ferreira)
SC Braga,Braga,SC Braga,SC Braga (Braga)
Amadora,Amadora,Amadora,Amadora (Amadora)
Académica de Coimbra,Coimbra,Académica de Coimbra,Académica de Coimbra (Coimbra)
Rio Ave FC,Vila do Conde,Rio Ave FC,Rio Ave FC (Vila do Conde)
